Id;product_name;part_number;prize
48935;Hydraulikarmatur DKOL-DN12 15L 90° Gates 8GS-15FDLORX90 Global Spiral;T81667;62.21
48955;Hydraulikarmatur RGN-DN06 M10 Gates 4G-10DBJ Mega Crimp;T77517;55.11
48961;Hydraulikarmatur DKL-DN10 12L Gates 6G-12FDLX Mega Crimp;T86569;73.24
49026;Gerade Reduzierung GZR 15-L 12-L Parker GZR15/12LCF verzinkt Dichtkegel O-Ring NBR;120567;26.35
49030;SCHLAUCHTROMMEL A4S 295 ESB links;105609;36.32
49033;STAUFF-TEST 20 SMK 20-30S-PG T-Verschraubung DKO-Dichtkegelanschluss;136145;59.23
49187;Verschlussadapter BSP ROV 1 AG / BSP 60°;120430;50.81
